Date,Ticker,Price,Open,Previous Close,High,Low,Volume
2021-08-12 12:02:58,CMCSA,58.745,59.05,59.09,59.14,58.59,2251884.0
2021-08-12 12:02:59,ADBE,634.45,626.0,626.03,636.64,624.09,524363.0
2021-08-12 12:02:59,ORCL,89.465,89.11,89.63,89.73,88.68,2608184.0
2021-08-12 12:02:59,KO,56.785,56.73,56.73,56.95,56.73,2530183.0
2021-08-12 12:02:59,VZ,55.6235,55.62,55.57,55.8,55.53,4195756.0
2021-08-12 12:02:59,T,27.99,28.2,28.16,28.22,27.95,7851178.0
2021-08-12 12:03:00,PFE,47.1,46.5,46.31,47.16,46.34,1.4179471E7
2021-08-12 12:03:00,CVX,102.265,102.86,102.85,103.25,101.78,2768733.0
2021-08-12 12:03:00,NKE,170.33,170.89,171.27,171.3,169.4978,1707612.0
2021-08-12 12:03:00,PEP,154.7953,155.23,155.04,155.3,154.6,591897.0
2021-08-12 12:03:01,ABT,122.36,121.18,121.46,122.57,121.09,1103151.0
2021-08-12 12:03:01,WFC,50.975,50.76,50.66,51.11,50.56,1.0148512E7
2021-08-12 12:03:01,ACN,320.31,319.7,319.79,321.43,318.675,283226.0
2021-08-12 12:03:01,MRK,75.695,75.12,75.21,75.79,75.14,2026957.0
2021-08-12 12:03:01,MCD,235.6386,236.0,235.55,236.19,235.05,367845.0
2021-08-12 12:03:01,SAP,147.34,146.42,145.24,147.71,145.83,198753.0
2021-08-12 12:03:02,COST,444.88,443.0,444.3,446.07,442.26,480450.0
2021-08-12 12:03:02,OKTA,238.52,234.0,234.49,239.89,233.08,324870.0
2021-08-12 12:03:02,UL,57.16,57.19,57.34,57.27,57.07,417755.0
2021-08-12 12:03:02,SHOP,1509.54,1482.53,1485.23,1514.0,1455.94,726366.0
2021-08-12 12:03:02,QCOM,147.36,147.76,146.68,148.0,146.39,3083091.0
2021-08-12 12:03:03,BA,238.2601,240.0,239.49,241.13,236.51,4177045.0
2021-08-12 12:03:03,SCHW,74.95,74.56,74.63,75.18,74.36,1357163.0
2021-08-12 12:03:03,AMGN,226.202,228.2,228.13,229.48,225.81,747962.0
2021-08-12 12:03:03,LOW,191.8789,194.26,194.52,194.9188,191.72,981225.0
2021-08-12 12:03:03,RTX,87.8758,88.4,88.62,88.655,87.38,1010139.0
2021-08-12 12:03:04,IBM,142.517,142.26,142.13,143.15,142.1,842192.0
2021-08-12 12:03:04,AXP,168.1025,170.02,170.67,170.1,168.05,1154892.0
2021-08-12 12:03:04,SBUX,116.01,116.41,116.5,116.78,115.51,1474480.0
2021-08-12 12:03:04,GS,414.225,414.38,413.89,418.59,410.58,1261076.0
2021-08-12 12:03:04,HSBC,28.41,28.5,28.63,28.54,28.245,622990.0
2021-08-12 12:03:05,INTU,536.415,532.29,532.23,538.14,530.23,160661.0
2021-08-12 12:03:05,AMAT,129.2146,132.0,134.82,132.02,127.7,6967143.0
2021-08-12 12:03:05,SONY,100.19,100.2,101.76,100.49,98.77,291063.0
2021-08-12 12:03:05,AMT,279.155,278.0,277.22,280.11,276.19,262373.0
2021-08-12 12:03:05,V,231.82,233.89,234.74,234.11,231.02,4097155.0
2021-08-12 12:03:06,JPM,161.48,161.88,161.16,162.35,160.5539,4297485.0
2021-08-12 12:03:06,UNH,406.0332,407.0,407.74,408.73,404.3,730971.0
2021-08-12 12:03:06,MA,361.35,362.57,364.24,362.675,357.85,1650307.0
2021-08-12 12:03:06,BAC,42.125,42.23,41.95,42.28,41.775,2.005722E7
2021-08-12 12:03:06,PG,142.49,143.15,142.62,143.01,142.38,1807004.0
2021-08-12 12:03:06,HD,334.84,337.35,337.0,338.1299,334.18,835705.0
2021-08-12 12:03:07,ASML,782.905,788.7,789.22,788.33,780.165,474994.0
2021-08-12 12:03:07,TM,181.02,181.01,181.38,181.09,180.1965,46768.0
2021-08-12 12:03:07,CSCO,56.01,55.85,55.86,56.04,55.66,3026162.0
2021-08-12 12:03:07,TMUS,144.91,144.96,144.59,145.39,144.69,628016.0
2021-08-12 12:03:07,UPS,193.325,192.68,192.4,194.55,192.275,916707.0
2021-08-12 12:03:08,MCD,235.63,236.0,235.55,236.19,235.05,368324.0
2021-08-12 12:03:08,TXN,187.855,188.85,189.5,189.0579,186.18,1353009.0
2021-08-12 12:03:08,COST,444.9,443.0,444.3,446.07,442.26,480563.0
2021-08-12 12:03:09,C,74.045,74.33,74.3,74.64,73.6285,6366261.0
2021-08-12 12:03:09,RYDAF,20.03,20.5,20.41,20.69,20.03,8882.0
2021-08-12 12:03:09,BA,238.315,240.0,239.49,241.13,236.51,4178129.0
2021-08-12 12:03:09,DE,385.435,386.07,386.08,388.52,383.675,430564.0
2021-08-12 12:03:10,LMT,360.32,362.33,363.3,363.9,358.82,363247.0
2021-08-12 12:03:10,BP,25.51,25.68,25.7424,25.74,25.4028,4836852.0
2021-08-12 12:03:10,GM,54.565,54.44,54.27,55.0334,54.19,6119958.0
2021-08-12 12:03:10,ABNB,149.395,148.86,148.16,149.725,146.55,2732511.0
2021-08-12 12:03:10,PNC,194.09,193.93,193.9,195.33,192.96,512933.0
2021-08-12 12:03:11,SCHW,74.94,74.56,74.63,75.18,74.36,1357958.0
2021-08-12 12:03:11,LOW,191.8789,194.26,194.52,194.9188,191.72,981241.0
2021-08-12 12:03:11,GS,414.33,414.38,413.89,418.59,410.58,1262919.0
2021-08-12 12:03:12,TGT,261.52,263.95,263.01,264.57,261.05,1077380.0
2021-08-12 12:03:12,CVS,84.65,85.21,84.95,85.44,84.2,2300877.0
2021-08-12 12:03:12,MRNA,403.5001,400.0,385.33,406.3499,377.0901,2.1162842E7
2021-08-12 12:03:12,BKNG,2169.945,2181.36,2200.22,2181.78,2154.82,77860.0
2021-08-12 12:03:13,CBEV,0.92,0.3231,0.995,0.96,0.323,6936.0
2021-08-12 12:03:13,HAS,98.955,98.98,98.71,99.29,98.405,180410.0
2021-08-12 12:03:13,MAT,22.16,22.28,22.24,22.34,21.905,617591.0
2021-08-12 12:03:13,JAKK,13.66,13.4,13.32,13.81,13.215,68440.0
2021-08-12 12:03:13,BBW,14.85,15.06,15.12,15.33,14.685,21202.0
